requirement_id,primary_level,planned_test_ids,notes
R-FUNC-PLACE-01,system,"T-SYS-PLACE-001;T-INT-PLACE-001;T-UNIT-PARSER-001;T-UNIT-VALID-001","E2E contract + isolated parsing/validation + persistence"
R-FUNC-LIST-01,system,"T-SYS-LIST-001;T-INT-LIST-001","Grouping/count and repository query semantics"
R-FUNC-SHOW-01,system,"T-SYS-SHOW-001;T-INT-SHOW-001","Present vs not found"
R-FUNC-BATCH-01,system,"T-SYS-BATCH-001;T-SYS-BATCH-002","Streaming outputs + summary correctness"
R-SAFE-FULFILL-01,integration,"T-INT-FULFILL-001;T-SYS-FULFILL-001","Unauthorized cannot modify persisted state"
R-SAFE-IDEMPOTENT-01,integration,"T-INT-FULFILL-002","Already fulfilled returns correct error and unchanged state"
R-LIVE-CLI-01,system,"T-SYS-LIVE-001","Timeout-based no-hang harness"
R-ROBUST-MOBILE-01,unit,"T-UNIT-VALID-002;T-SYS-ERRCODES-001","Format validation + system exit code/side effects"
R-ROBUST-MSG-01,unit,"T-UNIT-VALID-003;T-SYS-ERRCODES-002","Message-length boundary tests"
R-ROBUST-PARSER-01,unit,"T-UNIT-PARSER-002;T-UNIT-PARSER-003","Grammar/limits/aggregation overflow"
R-SEC-INJECTION-01,integration,"T-INT-SEC-001;T-REVIEW-SEC-001","DB-backed malicious strings + SQL inspection"
R-ROBUST-DBFAIL-01,integration,"T-INT-DB-FAIL-001","Fault injection: DB error -> DATABASE_ERROR, no partial writes"
R-PERF-PLACE-01,system,"T-PERF-PLACE-001","Repeated sampling; report mean/p95 (formalised in LO4)"
R-PERF-BATCH-01,system,"T-PERF-BATCH-001","Throughput sampling"
R-QUAL-DETERMINISM-01,system,"T-SYS-OUTPUT-001","Golden output regression"
R-QUAL-TESTABILITY-01,unit,"T-REVIEW-ARCH-001","Design evidence: injection seams for deterministic tests"
R-QUAL-VISIBILITY-01,system,"T-SYS-METRICS-001","Metrics output schema and reset semantics"
